date,hour,timezone,isEvent,isHoliday
2024-12-31,01,PST,0,0
2024-12-31,02,PST,0,0
2024-12-31,03,PST,0,0
2024-12-31,04,PST,0,0
2024-12-31,05,PST,0,0
2024-12-31,06,PST,0,0
2024-12-31,07,PST,0,0
2024-12-31,08,PST,0,0
2024-12-31,09,PST,0,0
2024-12-31,10,PST,0,0
2024-12-31,11,PST,0,0
2024-12-31,12,PST,0,0
2024-12-31,13,PST,0,0
2024-12-31,14,PST,0,0
2024-12-31,15,PST,0,0
2024-12-31,16,PST,0,0
2024-12-31,17,PST,0,0
2024-12-31,18,PST,1,0
2024-12-31,19,PST,1,0
2024-12-31,20,PST,1,0
2024-12-31,21,PST,1,0
2024-12-31,22,PST,1,0
2024-12-31,23,PST,1,0
2025-01-01,00,PST,0,1
2025-01-01,01,PST,0,1
2025-01-01,02,PST,0,1
2025-01-01,03,PST,0,1
2025-01-01,04,PST,0,1
2025-01-01,05,PST,0,1
2025-01-01,06,PST,0,1
2025-01-01,07,PST,0,1
2025-01-01,08,PST,0,1
2025-01-01,09,PST,0,1
2025-01-01,10,PST,0,1
2025-01-01,11,PST,0,1
2025-01-01,12,PST,0,1
2025-01-01,13,PST,0,1
2025-01-01,14,PST,0,1
2025-01-01,15,PST,0,1
2025-01-01,16,PST,0,1
2025-01-01,17,PST,0,1
2025-01-01,18,PST,0,1
2025-01-01,19,PST,0,1
2025-01-01,20,PST,0,1
2025-01-01,21,PST,0,1
2025-01-01,22,PST,0,1
2025-01-01,23,PST,0,1
2025-01-02,00,PST,0,0
2025-01-02,01,PST,0,0
2025-01-02,02,PST,0,0
2025-01-02,03,PST,0,0
2025-01-02,04,PST,0,0
2025-01-02,05,PST,0,0
2025-01-02,06,PST,0,0
2025-01-02,07,PST,0,0
2025-01-02,08,PST,0,0
2025-01-02,09,PST,0,0
2025-01-02,10,PST,0,0
2025-01-02,11,PST,0,0
2025-01-02,12,PST,0,0
2025-01-02,13,PST,0,0
2025-01-02,14,PST,0,0
2025-01-02,15,PST,0,0
2025-01-02,16,PST,0,0
2025-01-02,17,PST,0,0
2025-01-02,18,PST,0,0
2025-01-02,19,PST,0,0
2025-01-02,20,PST,0,0
2025-01-02,21,PST,0,0
2025-01-02,22,PST,0,0
2025-01-02,23,PST,0,0
2025-01-03,00,PST,0,0
2025-01-03,01,PST,0,0
2025-01-03,02,PST,0,0
2025-01-03,03,PST,0,0
2025-01-03,04,PST,0,0
2025-01-03,05,PST,0,0
2025-01-03,06,PST,0,0
2025-01-03,07,PST,0,0
2025-01-03,08,PST,0,0
2025-01-03,09,PST,0,0
2025-01-03,10,PST,0,0
2025-01-03,11,PST,0,0
2025-01-03,12,PST,0,0
2025-01-03,13,PST,0,0
2025-01-03,14,PST,0,0
2025-01-03,15,PST,0,0
2025-01-03,16,PST,0,0
2025-01-03,17,PST,0,0
2025-01-03,18,PST,0,0
2025-01-03,19,PST,0,0
2025-01-03,20,PST,0,0
2025-01-03,21,PST,0,0
2025-01-03,22,PST,0,0
2025-01-03,23,PST,0,0
2025-01-04,00,PST,0,0
2025-01-04,01,PST,0,0
2025-01-04,02,PST,0,0
2025-01-04,03,PST,0,0
2025-01-04,04,PST,0,0
2025-01-04,05,PST,0,0
2025-01-04,06,PST,0,0
2025-01-04,07,PST,0,0
2025-01-04,08,PST,0,0
2025-01-04,09,PST,0,0
2025-01-04,10,PST,0,0
2025-01-04,11,PST,0,0
2025-01-04,12,PST,0,0
2025-01-04,13,PST,0,0
2025-01-04,14,PST,0,0
2025-01-04,15,PST,0,0
2025-01-04,16,PST,0,0
2025-01-04,17,PST,0,0
2025-01-04,18,PST,0,0
2025-01-04,19,PST,0,0
2025-01-04,20,PST,0,0
2025-01-04,21,PST,0,0
2025-01-04,22,PST,0,0
2025-01-04,23,PST,0,0
2025-01-05,00,PST,0,0
2025-01-05,01,PST,0,0
2025-01-05,02,PST,0,0
2025-01-05,03,PST,0,0
2025-01-05,04,PST,0,0
2025-01-05,05,PST,0,0
2025-01-05,06,PST,0,0
2025-01-05,07,PST,0,0
2025-01-05,08,PST,0,0
2025-01-05,09,PST,0,0
2025-01-05,10,PST,0,0
2025-01-05,11,PST,0,0
2025-01-05,12,PST,0,0
2025-01-05,13,PST,0,0
2025-01-05,14,PST,0,0
2025-01-05,15,PST,0,0
2025-01-05,16,PST,0,0
2025-01-05,17,PST,0,0
2025-01-05,18,PST,0,0
2025-01-05,19,PST,0,0
2025-01-05,20,PST,0,0
2025-01-05,21,PST,0,0
2025-01-05,22,PST,0,0
2025-01-05,23,PST,0,0
2025-01-06,00,PST,0,0
2025-01-06,01,PST,0,0
2025-01-06,02,PST,0,0
2025-01-06,03,PST,0,0
