year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-29,14,2.84,277.38,0,0,1,1
2024,2024-12-29,15,1.74,276.93,0,0,0,1
2024,2024-12-29,16,0.56,277.45,0,0,0,1
2024,2024-12-29,17,0.25,277.33,0,0,0,1
2024,2024-12-29,18,0.25,277.82,0,0,0,1
2024,2024-12-29,19,0.61,278.31,0,0,0,1
2024,2024-12-29,20,0.28,276.66,0,0,0,1
2024,2024-12-29,21,0.0,274.84,0,1,0,0
2024,2024-12-30,11,1.27,274.99,0,0,1,1
2024,2024-12-30,12,1.2,273.99,0,0,1,1
2024,2024-12-30,13,0.45,274.36,0,0,0,1
2024,2024-12-30,14,0.25,275.18,0,0,1,1
2024,2024-12-30,15,1.47,275.03,0,0,1,1
2024,2024-12-30,16,1.19,275.2,0,0,1,1
2024,2024-12-30,17,1.16,275.09,0,0,1,1
2024,2024-12-30,18,0.86,274.92,0,0,0,1
2024,2024-12-30,19,0.34,274.52,0,0,0,1
2024,2024-12-30,20,0.0,275.63,0,0,0,1
2024,2024-12-30,21,0.25,275.9,0,0,0,1
2024,2024-12-31,11,0.0,276.48,0,1,0,0
2024,2024-12-31,12,0.0,277.68,0,1,0,0
2024,2024-12-31,13,0.0,277.59,0,1,0,0
2024,2024-12-31,14,0.0,278.15,0,1,0,0
2024,2024-12-31,15,0.0,277.02,0,1,0,0
2024,2024-12-31,16,0.51,278.93,0,0,0,1
2024,2024-12-31,17,0.0,277.06,0,1,0,0
2024,2024-12-31,18,0.0,277.7,0,1,0,0
2024,2024-12-31,19,0.0,277.28,0,1,0,0
2024,2024-12-31,20,0.0,274.36,0,1,0,0
2024,2024-12-31,21,0.0,274.46,0,1,0,0
2025,2025-01-01,11,0.0,274.83,0,1,0,0
2025,2025-01-01,12,0.0,276.8,0,1,0,0
2025,2025-01-01,13,0.0,275.98,0,1,0,0
2025,2025-01-01,14,0.0,276.38,0,1,0,0
2025,2025-01-01,15,0.0,277.57,0,1,0,0
2025,2025-01-01,16,0.0,277.3,0,1,0,0
2025,2025-01-01,17,0.0,278.24,0,1,0,0
2025,2025-01-01,18,0.0,275.23,0,1,0,0
2025,2025-01-01,19,0.0,275.23,0,1,0,0
2025,2025-01-01,20,0.0,274.46,0,1,0,0
